"","Entry.Name","logFC.limma","AveExpr.limma","t.limma","P.Value.limma","adj.P.Val.limma","B.limma","pval.fdrtool","qval.fdrtool","lfdr.fdrtool","hit_annotation_limma","score","comparison"
"8043","CP009208_CDS_yheS",-0.345803463092584,-0.345803463092584,-26.3082340840663,0.0004443619927124,0.221434077689756,0.728574579053189,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8044","CP009208_CDS_VK055_4516",0.875486272569058,0.875486272569058,24.7627896291535,0.00051554344470817,0.221434077689756,0.661358111244294,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8045","CP009208_CDS_murI",-0.630909931050156,-0.630909931050156,-23.4282037392456,0.00059060291765145,0.221434077689756,0.594968240391872,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8046","CP009208_CDS_metK",2.27485616696628,2.27485616696628,22.914883786405,0.00062358319723604,0.221434077689756,0.567079534130987,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"stabilised","stability","porin-wt"
"8047","CP009208_CDS_rplX",0.554858169724822,0.554858169724821,22.6143636259776,0.00064410251132096,0.221434077689756,0.550090880636702,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8048","CP009208_CDS_prsA",-1.73902539865918,-1.73902539865918,-21.4660406060832,0.00073189032122915,0.221434077689756,0.480293839464414,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"destabilised","stability","porin-wt"
"8049","CP009208_CDS_VK055_3478",-0.615109466384216,-0.615109466384216,-19.5888327792042,0.0009158640784014,0.221434077689756,0.346971753791298,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8050","CP009208_CDS_mutS",-0.585004827498506,-0.585004827498506,-17.7601877384996,0.0011641845777529,0.221434077689756,0.188718081982505,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8051","CP009208_CDS_VK055_3144",1.40991346321105,1.40991346321105,17.3088444660596,0.00123985296077244,0.221434077689756,0.144478206023903,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8052","CP009208_CDS_sapF",0.661074783414636,0.661074783414636,16.6179220857895,0.0013697148667699,0.221434077689756,0.0722044705630536,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8053","CP009208_CDS_VK055_1367",0.423762490713446,0.423762490713446,16.4425692815076,0.00140569692893123,0.221434077689756,0.0529297453075737,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8054","CP009208_CDS_htpG",-1.47223098459427,-1.47223098459427,-16.367230863308,0.00142156428351945,0.221434077689756,0.0445274067708601,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8055","CP009208_CDS_pcp",1.0523373621496,1.0523373621496,16.2865759313215,0.00143883137043427,0.221434077689756,0.035450119924711,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8056","CP009208_CDS_VK055_5019",-0.508827005552226,-0.508827005552225,-16.1657914929723,0.00146524478070074,0.221434077689756,0.0216957473651238,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8057","CP009208_CDS_clpB",-0.872020868692203,-0.872020868692202,-16.1055151950375,0.00147868112725964,0.221434077689756,0.0147587520342123,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8058","CP009208_CDS_VK055_1946",0.233005573266485,0.233005573266485,15.9075038704964,0.00152405741201546,0.221434077689756,-0.00837819212637481,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8059","CP009208_CDS_VK055_3929",-0.957915214286279,-0.957915214286279,-15.3858062926791,0.00165337856632091,0.221434077689756,-0.0719950056391072,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8060","CP009208_CDS_lpxL3",-0.219576335978919,-0.219576335978919,-15.165613528544,0.00171260395602855,0.221434077689756,-0.10005697844068,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8061","CP009208_CDS_sacA",-3.64695935371144,-3.64695935371144,-14.9693303605979,0.00176793808707757,0.221434077689756,-0.125706705194903,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"destabilised_strong","stability","porin-wt"
"8062","CP009208_CDS_gshA",-0.348059604432134,-0.348059604432134,-14.9357480047588,0.00177765577202946,0.221434077689756,-0.130156461435587,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8063","CP009208_CDS_VK055_3189",-0.295795219314703,-0.295795219314703,-14.0287817441398,0.00207115692078,0.228279811155811,-0.257510998985351,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8064","CP009208_CDS_VK055_2797",-1.41236372756601,-1.41236372756601,-14.0028217097336,0.00208053003396368,0.228279811155811,-0.261370364080729,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8065","CP009208_CDS_rhmD",-1.12939820691764,-1.12939820691764,-13.6782664913397,0.00220290563465427,0.228279811155811,-0.310693052332584,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8066","CP009208_CDS_pyk2",-1.40390423983155,-1.40390423983155,-13.6781834773932,0.00220293821194104,0.228279811155811,-0.310705926712529,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8067","CP009208_CDS_ompA",1.35776015748924,1.35776015748924,13.5519490824232,0.00225326875711011,0.228279811155811,-0.33043996977919,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8068","CP009208_CDS_VK055_2191",1.80328593192972,1.80328593192972,13.3542928959234,0.00233536992348586,0.228279811155811,-0.361979386181799,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"stabilised","stability","porin-wt"
"8069","CP009208_CDS_VK055_2150",-1.00789201044962,-1.00789201044962,-12.960017014191,0.00251213914425346,0.228279811155811,-0.427317106482457,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8070","CP009208_CDS_lanS",1.1115080046215,1.11150800462149,12.8268786508373,0.00257606792940453,0.228279811155811,-0.450138371152701,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8071","CP009208_CDS_guaA",-1.38757960260878,-1.38757960260878,-12.7285665988011,0.00262474690626985,0.228279811155811,-0.467244100502147,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8072","CP009208_CDS_truA",1.36335471521217,1.36335471521217,12.6780874687444,0.00265024348525921,0.228279811155811,-0.476112322569298,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8073","CP009208_CDS_lpxL2",-0.452985742822514,-0.452985742822514,-12.3585474466973,0.00281998404194671,0.228279811155811,-0.533624501640542,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8074","CP009208_CDS_VK055_4043",-0.599113267518275,-0.599113267518275,-12.2366951477324,0.00288873254209769,0.228279811155811,-0.556198615056479,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8075","CP009208_CDS_waaA",-0.966271719093236,-0.966271719093236,-12.045140242099,0.00300164184364853,0.228279811155811,-0.592428432239125,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8076","CP009208_CDS_VK055_4698",1.1573312333132,1.1573312333132,12.0444892909886,0.00300203599853161,0.228279811155811,-0.592553125263402,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8077","CP009208_CDS_VK055_3146",0.584779895544659,0.584779895544659,11.9912609460257,0.00303451304862327,0.228279811155811,-0.602785888924475,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8078","CP009208_CDS_accC",-0.996896800572394,-0.996896800572394,-11.8745400756088,0.0031074738691367,0.228279811155811,-0.625480225680521,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
"8079","CP009208_CDS_VK055_2787",3.26836960766286,3.26836960766286,11.5856372908422,0.00329896759564262,0.236288554037902,-0.683201905312206,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"stabilised_strong","stability","porin-wt"
"8080","CP009208_CDS_VK055_4580",-0.422628264410503,-0.422628264410503,-11.2999856969045,0.00350495819036637,0.238372878112427,-0.742531296463658,2.22044604925031e-16,1.03951110799276e-14,1.03951110799276e-14,"no_hit","stability","porin-wt"
